table,column,type,nullable,pk
dim_channels,channel_key,,YES,NO
dim_channels,channel_name,TEXT,YES,NO
dim_channels,channel_username,TEXT,YES,NO
dim_channels,channel_title,TEXT,YES,NO
dim_channels,channel_type,,YES,NO
dim_channels,first_post_date,,YES,NO
dim_channels,last_post_date,,YES,NO
dim_channels,total_posts,,YES,NO
dim_channels,avg_views,,YES,NO
dim_channels,avg_forwards,,YES,NO
dim_channels,posts_with_media,,YES,NO
dim_channels,posts_with_image,,YES,NO
dim_channels,media_percentage,,YES,NO
dim_channels,image_percentage,,YES,NO
dim_channels,activity_status,,YES,NO
dim_dates,date_key,INT,YES,NO
dim_dates,full_date,,YES,NO
dim_dates,year,INT,YES,NO
dim_dates,quarter,,YES,NO
dim_dates,month,INT,YES,NO
dim_dates,month_name,,YES,NO
dim_dates,week_of_year,,YES,NO
dim_dates,day_of_month,INT,YES,NO
dim_dates,day_of_week,INT,YES,NO
dim_dates,day_name,,YES,NO
dim_dates,is_weekend,,YES,NO
fct_messages,message_id,INT,YES,NO
fct_messages,channel_key,,YES,NO
fct_messages,date_key,INT,YES,NO
fct_messages,message_text,,YES,NO
fct_messages,message_length,,YES,NO
fct_messages,view_count,,YES,NO
fct_messages,forward_count,,YES,NO
fct_messages,has_image,,YES,NO
fct_messages,data_quality_status,,YES,NO
raw_telegram_messages,id,INTEGER,YES,YES
raw_telegram_messages,message_id,INTEGER,NO,NO
raw_telegram_messages,channel_name,TEXT,NO,NO
raw_telegram_messages,channel_username,TEXT,YES,NO
raw_telegram_messages,channel_title,TEXT,YES,NO
raw_telegram_messages,message_date,TIMESTAMP,YES,NO
raw_telegram_messages,message_text,TEXT,YES,NO
raw_telegram_messages,has_media,BOOLEAN,YES,NO
raw_telegram_messages,image_path,TEXT,YES,NO
raw_telegram_messages,views,INTEGER,YES,NO
raw_telegram_messages,forwards,INTEGER,YES,NO
raw_telegram_messages,scraped_at,TIMESTAMP,YES,NO
raw_telegram_messages,created_at,TIMESTAMP,YES,NO
sqlite_sequence,name,,YES,NO
sqlite_sequence,seq,,YES,NO
stg_telegram_messages,message_id,INT,YES,NO
stg_telegram_messages,channel_name,TEXT,YES,NO
stg_telegram_messages,channel_username,TEXT,YES,NO
stg_telegram_messages,channel_title,TEXT,YES,NO
stg_telegram_messages,message_date,NUM,YES,NO
stg_telegram_messages,scraped_at,NUM,YES,NO
stg_telegram_messages,message_text,TEXT,YES,NO
stg_telegram_messages,cleaned_message_text,,YES,NO
stg_telegram_messages,message_length,,YES,NO
stg_telegram_messages,has_media,NUM,YES,NO
stg_telegram_messages,image_path,TEXT,YES,NO
stg_telegram_messages,has_image,,YES,NO
stg_telegram_messages,views,,YES,NO
stg_telegram_messages,forwards,,YES,NO
stg_telegram_messages,is_empty_message,,YES,NO
stg_telegram_messages,is_future_date,,YES,NO
stg_telegram_messages,has_negative_views,,YES,NO
stg_telegram_messages,data_quality_status,,YES,NO
